rasm_fayl_nomi;id;kategoriya;mahsulot_nomi
1.png;1;Chips va gazaklar;Sardor Semichka 100gr
2.png;2;Chips va gazaklar;Sardor Semichka 150gr
3.png;3;Chips va gazaklar;Sardor Semichka 200gr
4.png;4;Shirinliklar;Iris Sendwich mini
5.png;5;Shirinliklar;Iris Sandwich mix
6.png;6;Shirinliklar;Iris Gamburger va sendchichlar
7.png;7;Kolbasa va go'sht;Sherin Canada Sasiska
8.png;8;Boshqa;Min Jour 2kg
9.png;9;Souslar va yog'lar;Chimboy Mayanez 900ml
10.png;10;Souslar va yog'lar;Chigatoy Mayanez 900ml
11.png;11;Ichimliklar;Toshkent Miniral Sport 05L
12.png;12;Sut mahsulotlari;Kefir 2.5% MP900gr
13.png;13;Sut mahsulotlari;Rashmilk Masla 500gr
14.png;14;Sut mahsulotlari;Rashmilk Masla 200gr
15.png;15;Sut mahsulotlari;Molli Yogurt Baklashka
16.png;16;Sut mahsulotlari;Miro Yogurt Baklashka
17.png;17;Sut mahsulotlari;Molli Stakan Yogurt
18.png;18;Sut mahsulotlari;Lulu Yogurt
19.png;19;Sut mahsulotlari;Miro Yogurt Stakan Mix
20.png;20;Bir martalik idish;Toothpick
21.png;21;Gigiena;Bamboo ToothPics
22.png;22;Bir martalik idish;Vicon Zubachist 30talik
23.png;23;Bir martalik idish;Shpashka 50talik
24.png;24;Muzqaymoq;Muzqaymoq qoshiq 50talik
25.png;25;Bir martalik idish;Trubochki 80ta
26.png;26;Gigiena;Salfetka Qalin
27.png;27;Gigiena;Salfetka Gulli
28.png;28;Bir martalik idish;Piki dlya Fruktov
29.png;29;Gigiena;Niso Classic White
30.png;30;Souslar va yog'lar;Jemchug Perchatka
31.png;31;Uy-ro'zg'or;Rangli Skotch Katta
32.png;32;Uy-ro'zg'or;Skotch 36x50
33.png;33;Uy-ro'zg'or;Skotch 36x30
34.png;34;Uy-ro'zg'or;Skotch 3.6x20
35.png;35;Uy-ro'zg'or;Skotch 4.5x50
36.png;36;Uy-ro'zg'or;Skotch 4.5x30
37.png;37;Uy-ro'zg'or;Skotch 4.5x20
38.png;38;Uy-ro'zg'or;Skotch o'rta
39.png;39;Uy-ro'zg'or;Skotch kichik
40.png;40;Bir martalik idish;Tarelka Qog'ozli
41.png;41;Bir martalik idish;Sovg'a Karobka 55x45
42.png;42;Bir martalik idish;Sovg'a Karobka 50x40
43.png;43;Bir martalik idish;Sovg'a Karobka 30x40
44.png;44;Bir martalik idish;Sovg'a Karobka 26x12
45.png;45;Bir martalik idish;Sovg'a Karobka 26x32
46.png;46;Bir martalik idish;Sovg'a Karobka 23x10
47.png;47;Bir martalik idish;Sovg'a Karobka 15x7
48.png;48;Non va tuxum;Bedana Tuxum 20
49.png;49;Souslar va yog'lar;Qanot Paxta Yog 5l
50.png;50;Souslar va yog'lar;Avedov Pista Yogi 1l
51.png;51;Boshqa;Sochnaya Dolina mix 1L
52.png;52;Ichimliklar;Aksoy 0.5L
53.png;53;Ichimliklar;Bonaqua 0.5L
54.png;54;Ichimliklar;Chopakli choy 0.5L
55.png;55;Ichimliklar;Asu 0.5L
56.png;56;Ichimliklar;Asu 1L
57.png;57;Ichimliklar;Lipton 1.5L
58.png;58;Ichimliklar;Chortoq 1.5l
59.png;59;Ichimliklar;Chortoq 05
60.png;60;Ichimliklar;Dinay 1L Mix
61.png;61;Chips va gazaklar;Cheers Chips 210gr
62.png;62;Chips va gazaklar;Cheers Chips 130gr
63.png;63;Chips va gazaklar;Cheers Chips 70gr
64.png;64;Chips va gazaklar;Cheers Chips 27gr
65.png;65;Chips va gazaklar;Cheers Chips 45gr
66.png;66;Sut mahsulotlari;Sharqona Qurt Idish 40gr
67.png;67;Chips va gazaklar;Cheetos 26gr
68.png;68;Souslar va yog'lar;Maxeev Mayonez 190gr
69.png;69;Souslar va yog'lar;Maxeev Mayonez 380gr
70.png;70;Souslar va yog'lar;Maxeev Mayonez 190gr
71.png;71;Souslar va yog'lar;Maxeev Mayonez 380gr
72.png;72;Souslar va yog'lar;Maxeev Mayonez 190gr
73.png;73;Souslar va yog'lar;Maxeev Adjika 190gr
74.png;74;Souslar va yog'lar;Maxeev Gorchitsa 190gr
75.png;75;Souslar va yog'lar;Maxeev Mayonez 380gr
76.png;76;Souslar va yog'lar;Maxeev Mayonez 190gr
77.png;77;Souslar va yog'lar;Maxeev Mayonez 380gr
78.png;78;Souslar va yog'lar;Maxeev Djem 400gr
79.png;79;Souslar va yog'lar;Maxeev Ketchup 300gr
80.png;80;Souslar va yog'lar;Maxeev Mayonez Paqir 800gr
81.png;81;Shirinliklar;Musa Briquette
82.png;82;Boshqa;badiroq dona
83.png;83;Kolbasa va go'sht;King Lamb 400gr
84.png;84;Ichimliklar;Albeni Chokolata 93gr
85.png;85;Sut mahsulotlari;Albeni Sutli 175gr
86.png;86;Shirinliklar;Albei Kakao 175gr
87.png;87;Shirinliklar;Albeni Round 240gr
88.png;88;Shirinliklar;Albeni Bites 72gr
89.png;89;Shirinliklar;Albeni Bites 180gr
90.png;90;Shirinliklar;YJF Ossobiy
91.png;91;Shirinliklar;YJF Ossobiy
92.png;92;Shirinliklar;YJF Tostirniy 600gr
93.png;93;Shirinliklar;YJF Bez Saxar
94.png;94;Shirinliklar;YJF Avstriskiy
95.png;95;Shirinliklar;YJF Bananli Keks 300gr
96.png;96;Shirinliklar;YJF Klassik Keks 300gr
97.png;97;Shirinliklar;YJF Rulet 300gr
98.png;98;Shirinliklar;YJF Best Keks 250gr
99.png;99;Sut mahsulotlari;Bomazza Yogurt 110gr Mix
100.png;100;Shirinliklar;YJF Seva 120gr
101.png;101;Shirinliklar;Biskivit Keks
102.png;102;Souslar va yog'lar;YJF Nachinka
103.png;103;Shirinliklar;YJF mini tort
104.png;104;Muzqaymoq;Malina Ice cream
105.png;105;Muzqaymoq;Saber Ice cream
